,node.objClass,pedestrian_count,node.serialno,node.time,date,year,month,day,location
190,pedestrian,433.0,SWLSANDBOX1,2019-08-29T00:00:00-05:00,2019-08-29,2019,08,29,streetscape
191,pedestrian,325.0,SWLSANDBOX1,2019-08-30T00:00:00-05:00,2019-08-30,2019,08,30,streetscape
192,pedestrian,12.0,SWLSANDBOX1,2019-08-31T00:00:00-05:00,2019-08-31,2019,08,31,streetscape
193,pedestrian,264.0,SWLSANDBOX1,2019-09-01T00:00:00-05:00,2019-09-01,2019,09,01,streetscape
194,pedestrian,154.0,SWLSANDBOX1,2019-09-02T00:00:00-05:00,2019-09-02,2019,09,02,streetscape
195,pedestrian,441.0,SWLSANDBOX1,2019-09-03T00:00:00-05:00,2019-09-03,2019,09,03,streetscape
196,pedestrian,604.0,SWLSANDBOX1,2019-09-04T00:00:00-05:00,2019-09-04,2019,09,04,streetscape
197,pedestrian,468.0,SWLSANDBOX1,2019-09-05T00:00:00-05:00,2019-09-05,2019,09,05,streetscape
198,pedestrian,594.0,SWLSANDBOX1,2019-09-06T00:00:00-05:00,2019-09-06,2019,09,06,streetscape
199,pedestrian,5.0,SWLSANDBOX1,2019-09-07T00:00:00-05:00,2019-09-07,2019,09,07,streetscape
200,pedestrian,899.0,SWLSANDBOX1,2019-09-08T00:00:00-05:00,2019-09-08,2019,09,08,streetscape
201,pedestrian,1293.0,SWLSANDBOX1,2019-09-09T00:00:00-05:00,2019-09-09,2019,09,09,streetscape
202,pedestrian,6056.0,SWLSANDBOX1,2019-09-10T00:00:00-05:00,2019-09-10,2019,09,10,streetscape
203,pedestrian,1733.0,SWLSANDBOX1,2019-09-11T00:00:00-05:00,2019-09-11,2019,09,11,streetscape
204,pedestrian,1298.0,SWLSANDBOX1,2019-09-12T00:00:00-05:00,2019-09-12,2019,09,12,streetscape
205,pedestrian,1016.0,SWLSANDBOX1,2019-09-13T00:00:00-05:00,2019-09-13,2019,09,13,streetscape
206,pedestrian,207.0,SWLSANDBOX1,2019-09-14T00:00:00-05:00,2019-09-14,2019,09,14,streetscape
207,pedestrian,1101.0,SWLSANDBOX1,2019-09-15T00:00:00-05:00,2019-09-15,2019,09,15,streetscape
208,pedestrian,1182.0,SWLSANDBOX1,2019-09-16T00:00:00-05:00,2019-09-16,2019,09,16,streetscape
209,pedestrian,863.0,SWLSANDBOX1,2019-09-17T00:00:00-05:00,2019-09-17,2019,09,17,streetscape
210,pedestrian,1211.0,SWLSANDBOX1,2019-09-18T00:00:00-05:00,2019-09-18,2019,09,18,streetscape
211,pedestrian,1244.0,SWLSANDBOX1,2019-09-19T00:00:00-05:00,2019-09-19,2019,09,19,streetscape
212,pedestrian,2235.0,SWLSANDBOX1,2019-09-20T00:00:00-05:00,2019-09-20,2019,09,20,streetscape
213,pedestrian,1.0,SWLSANDBOX1,2019-09-21T00:00:00-05:00,2019-09-21,2019,09,21,streetscape
214,pedestrian,1073.0,SWLSANDBOX1,2019-09-22T00:00:00-05:00,2019-09-22,2019,09,22,streetscape
215,pedestrian,457.0,SWLSANDBOX1,2019-09-23T00:00:00-05:00,2019-09-23,2019,09,23,streetscape
216,pedestrian,3357.0,SWLSANDBOX1,2019-09-24T00:00:00-05:00,2019-09-24,2019,09,24,streetscape
217,pedestrian,742.0,SWLSANDBOX1,2019-09-25T00:00:00-05:00,2019-09-25,2019,09,25,streetscape
218,pedestrian,3649.0,SWLSANDBOX1,2019-09-26T00:00:00-05:00,2019-09-26,2019,09,26,streetscape
219,pedestrian,2402.0,SWLSANDBOX1,2019-09-27T00:00:00-05:00,2019-09-27,2019,09,27,streetscape
220,pedestrian,7.0,SWLSANDBOX1,2019-09-28T00:00:00-05:00,2019-09-28,2019,09,28,streetscape
221,pedestrian,508.0,SWLSANDBOX1,2019-09-29T00:00:00-05:00,2019-09-29,2019,09,29,streetscape
222,pedestrian,1471.0,SWLSANDBOX1,2019-09-30T00:00:00-05:00,2019-09-30,2019,09,30,streetscape
223,pedestrian,106.0,SWLSANDBOX1,2019-10-01T00:00:00-05:00,2019-10-01,2019,10,01,streetscape
224,pedestrian,3050.0,SWLSANDBOX1,2019-10-02T00:00:00-05:00,2019-10-02,2019,10,02,streetscape
225,pedestrian,809.0,SWLSANDBOX1,2019-10-03T00:00:00-05:00,2019-10-03,2019,10,03,streetscape
226,pedestrian,728.0,SWLSANDBOX1,2019-10-04T00:00:00-05:00,2019-10-04,2019,10,04,streetscape
227,pedestrian,122.0,SWLSANDBOX1,2019-10-05T00:00:00-05:00,2019-10-05,2019,10,05,streetscape
228,pedestrian,1047.0,SWLSANDBOX1,2019-10-06T00:00:00-05:00,2019-10-06,2019,10,06,streetscape
229,pedestrian,863.0,SWLSANDBOX1,2019-10-07T00:00:00-05:00,2019-10-07,2019,10,07,streetscape
230,pedestrian,1770.0,SWLSANDBOX1,2019-10-08T00:00:00-05:00,2019-10-08,2019,10,08,streetscape
231,pedestrian,1255.0,SWLSANDBOX1,2019-10-09T00:00:00-05:00,2019-10-09,2019,10,09,streetscape
